frequency_Hz,I_mJy,Q_mJy,U_mJy,dI_mJy,dQ_mJy,dU_mJy
5420000000.0,0.172707,-0.056289,0.004263,0.002448,0.001289,0.001506
5436000000.0,0.172852,-0.057268,0.004197,0.002245,0.001217,0.00161
5452000000.0,0.172924,-0.056996,0.0053,0.002217,0.001189,0.001381
5468000000.0,0.173019,-0.057792,0.005431,0.002426,0.001058,0.001087
5484000000.0,0.171694,-0.056799,0.003617,0.002291,0.001282,0.001293
5500000000.0,0.173566,-0.056015,0.00489,0.002391,0.000951,0.001358
5516000000.0,0.169973,-0.056357,0.002908,0.002053,0.001101,0.001175
5532000000.0,0.172181,-0.055867,0.003785,0.00235,0.001015,0.00146
5548000000.0,0.171465,-0.055218,0.003968,0.002326,0.001058,0.001275
5564000000.0,0.169289,-0.0551,0.003853,0.002432,0.001088,0.001357
5580000000.0,0.170508,-0.056072,0.003931,0.00232,0.001088,0.001298
5596000000.0,0.169299,-0.054797,0.002872,0.002553,0.00121,0.001436
5612000000.0,0.174576,-0.055148,0.001834,0.003152,0.001056,0.001504
5628000000.0,0.169224,-0.055782,0.002358,0.002448,0.001036,0.001482
5644000000.0,0.168171,-0.056973,0.003749,0.002259,0.001221,0.001439
5660000000.0,0.171053,-0.057185,0.00422,0.00221,0.001172,0.001389
5676000000.0,0.168051,-0.054729,0.004438,0.002352,0.001146,0.001269
5692000000.0,0.167735,-0.056181,0.005691,0.001912,0.001199,0.001221
5708000000.0,0.168374,-0.056508,0.003952,0.002171,0.001174,0.001503
5724000000.0,0.165602,-0.055014,0.006182,0.001887,0.001293,0.00123
5740000000.0,0.165468,-0.05427,0.004893,0.002086,0.001279,0.001203
5756000000.0,0.167654,-0.054632,0.004425,0.001798,0.001153,0.001222
5772000000.0,0.164834,-0.055051,0.004971,0.002398,0.001332,0.001439
5788000000.0,0.164939,-0.05565,0.003567,0.002045,0.001051,0.001348
5804000000.0,0.16267,-0.053974,0.004647,0.00207,0.000989,0.001173
5820000000.0,0.162489,-0.0531,0.003314,0.001886,0.001148,0.00131
5836000000.0,0.162457,-0.053195,0.00407,0.001767,0.001063,0.001031
5852000000.0,0.161133,-0.053349,0.0038,0.001855,0.001198,0.001392
5868000000.0,0.160903,-0.051962,0.00345,0.001928,0.0011,0.001374
5884000000.0,0.162549,-0.052198,0.003079,0.002178,0.001157,0.001443
5900000000.0,0.161952,-0.052949,0.003749,0.002065,0.001032,0.001174
5916000000.0,0.161537,-0.051296,0.001817,0.002014,0.000958,0.001264
5964000000.0,0.159768,-0.052097,0.003833,0.001939,0.001188,0.00132
5980000000.0,0.162065,-0.051926,0.00329,0.001999,0.00123,0.001407
5996000000.0,0.160389,-0.052393,0.004405,0.002079,0.001221,0.001382
6012000000.0,0.161036,-0.051541,0.002049,0.002054,0.001511,0.001386
6028000000.0,0.160511,-0.053839,0.0031,0.002215,0.001062,0.001459
6044000000.0,0.157887,-0.051576,0.003495,0.002229,0.001184,0.001145
6060000000.0,0.159647,-0.051172,0.001669,0.002173,0.00126,0.001138
6076000000.0,0.157374,-0.050462,0.003388,0.002157,0.001091,0.001255
6092000000.0,0.158996,-0.052504,0.002695,0.002185,0.001107,0.00136
6108000000.0,0.15871,-0.050989,0.003173,0.001954,0.001108,0.001126
6124000000.0,0.158769,-0.050224,0.003497,0.002169,0.001127,0.001431
6140000000.0,0.16018,-0.051256,0.00203,0.002121,0.001315,0.001369
6156000000.0,0.156745,-0.051386,0.003735,0.002164,0.001191,0.001201
6172000000.0,0.159521,-0.050657,0.001516,0.002059,0.000901,0.001156
6188000000.0,0.157122,-0.050629,0.002091,0.002291,0.001131,0.001349
6204000000.0,0.157291,-0.050078,0.002183,0.00205,0.001075,0.001392
6220000000.0,0.155578,-0.049742,0.001654,0.001958,0.001467,0.001359
6236000000.0,0.15591,-0.050571,0.001785,0.001806,0.000996,0.00121
6252000000.0,0.156006,-0.052528,0.003945,0.001683,0.001161,0.001197
6268000000.0,0.153542,-0.050872,0.002215,0.002056,0.001128,0.001115
6284000000.0,0.15394,-0.050342,0.003175,0.00175,0.001069,0.001241
6300000000.0,0.152227,-0.051348,0.002307,0.001901,0.001327,0.001271
6316000000.0,0.155448,-0.049431,0.003577,0.001531,0.001324,0.001213
6332000000.0,0.154879,-0.050208,0.001638,0.001707,0.001122,0.001037
6348000000.0,0.163285,-0.051544,0.000475,0.002328,0.001134,0.001215
6364000000.0,0.160059,-0.052504,0.000944,0.002584,0.001514,0.00139
6380000000.0,0.15954,-0.051687,0.002408,0.002413,0.001408,0.001272
6396000000.0,0.158179,-0.050619,0.001535,0.002341,0.001102,0.000977
6412000000.0,0.155522,-0.047292,0.003853,0.003014,0.001592,0.001553
