Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G049.3676+00.4882,049.36761,+00.48823,290.07503,+14.81439,00.11,00.11,00006.50,00000.64,00006.88,00000.80,01.543,00.054,,01.588,00.080,01.500,00.074,17.095,42.654,00.28,-0.001,0022.0,G,0,1,0,0,0,0,0,1,0
G049.3679+00.4879,049.36795,+00.48791,290.07548,+14.81454,00.11,00.11,00005.97,00000.60,00005.97,00000.73,01.500,00.057,,01.500,00.080,01.500,00.080,148.622,90.000,00.28,0.001,0021.3,G,0,1,0,0,0,0,0,1,0
G049.9862+01.0049,049.98622,+01.00486,289.90283,+15.60300,00.30,00.19,00002.24,00000.35,00005.54,00001.14,02.358,00.249,01.8,02.923,00.486,01.903,00.248,105.798,11.777,00.26,0.002,0007.7,G,0,0,0,0,0,0,0,0,0
G050.0522+00.7046,050.05215,+00.70463,290.21007,+15.52017,00.81,00.75,00002.13,00000.21,00023.77,00003.85,07.759,00.072,07.6,,,,,,,00.24,-0.003,0007.9,P,0,0,0,0,0,0,0,0,0
G050.0679-00.6540,050.06791,-00.65403,291.45883,+14.89240,00.17,00.22,00002.29,00000.34,00004.53,00000.91,02.110,00.202,01.5,02.350,00.340,01.894,00.238,170.447,23.176,00.25,-0.004,0008.9,G,0,0,0,0,0,0,0,0,0
G050.2298+00.3139,050.22979,+00.31385,290.65572,+15.49416,00.24,00.26,00007.59,00000.68,00074.17,00011.03,11.455,00.053,11.4,,,,,,,00.33,-0.003,0021.9,P,0,0,0,0,1,1,0,0,0
G050.2325+00.3342,050.23251,+00.33421,290.63805,+15.50451,00.39,00.31,00009.20,00000.82,00091.84,00012.13,11.910,00.046,11.8,,,,,,,00.33,-0.010,0026.7,P,0,0,0,0,1,1,0,0,0
G050.2337+00.3271,050.23373,+00.32706,290.64457,+15.50280,00.10,00.10,00571.18,00050.84,00571.18,00050.84,01.500,00.021,,01.500,00.030,01.500,00.030,176.220,18.393,00.35,0.001,1578.1,G,0,1,0,0,1,0,0,1,0
G050.2339+00.3279,050.23395,+00.32791,290.64390,+15.50339,00.11,00.11,00010.79,00001.03,00013.04,00001.40,01.649,00.049,,01.813,00.081,01.500,00.059,130.403,07.171,00.36,0.001,0049.9,G,0,1,0,0,1,1,0,1,0
G050.3072-00.4175,050.30717,-00.41749,291.36162,+15.21583,00.68,00.67,00003.53,00000.34,00029.93,00004.94,05.818,00.052,05.6,,,,,,,00.27,-0.008,0012.2,P,0,0,0,0,0,0,0,0,0
G050.3127-00.4184,050.31271,-00.41844,291.36445,+15.21970,00.15,00.15,00002.49,00000.35,00002.49,00000.55,01.500,00.129,,01.500,00.183,01.500,00.183,169.667,90.000,00.28,0.052,0007.2,G,0,0,0,0,0,0,0,0,0
G050.3173-00.4170,050.31729,-00.41696,291.36578,+15.22459,00.67,01.07,00002.72,00000.28,00027.43,00005.02,05.077,00.054,04.8,,,,,,,00.27,-0.023,0009.1,P,0,0,0,0,0,0,0,0,0
G050.9075-00.7672,050.90753,-00.76720,291.97618,+15.57687,00.11,00.11,00006.74,00000.66,00008.71,00000.97,01.705,00.057,,01.805,00.089,01.611,00.073,62.249,14.472,00.27,0.018,0024.9,G,0,1,0,0,1,0,0,1,0
G050.9079-00.7674,050.90788,-00.76739,291.97653,+15.57709,00.11,00.12,00004.76,00000.50,00004.76,00000.64,01.500,00.068,,01.500,00.101,01.500,00.092,167.989,49.835,00.27,0.021,0024.7,G,0,1,0,0,1,0,0,1,0
G050.9475+00.8473,050.94745,+00.84727,290.51705,+16.37746,00.29,00.29,00027.58,00002.46,00054.71,00005.71,02.833,00.012,02.4,,,,,,,00.23,-0.000,0118.2,P,0,1,0,0,1,0,0,0,0
G050.9493+00.8509,050.94930,+00.85090,290.51499,+16.38050,00.68,00.71,00006.81,00000.63,00019.62,00002.38,03.126,00.026,02.7,,,,,,,00.23,-0.001,0028.4,P,0,1,0,0,1,0,0,0,0
G051.1114+00.9102,051.11143,+00.91024,290.53983,+16.55172,00.11,00.11,00005.21,00000.53,00005.21,00000.66,01.500,00.060,,01.500,00.085,01.500,00.085,07.885,90.000,00.26,0.014,0018.6,G,0,1,0,0,0,0,0,0,0
G051.1136+00.9091,051.11360,+00.90906,290.54199,+16.55308,00.16,00.14,00003.21,00000.40,00005.34,00000.86,01.936,00.132,01.2,02.095,00.214,01.788,00.163,113.676,22.609,00.27,-0.005,0012.7,G,0,1,0,0,0,0,0,0,0
G051.4105+00.4006,051.41046,+00.40062,291.15582,+16.57455,00.11,00.11,00006.10,00000.61,00006.94,00000.81,01.599,00.057,,01.645,00.085,01.555,00.076,08.475,32.312,00.27,-0.002,0021.3,G,0,1,0,0,0,0,0,1,0
G051.4106+00.4014,051.41061,+00.40139,291.15518,+16.57505,00.10,00.10,00011.44,00001.05,00012.17,00001.19,01.547,00.034,,01.596,00.051,01.500,00.046,111.006,15.141,00.27,-0.000,0041.7,G,0,1,0,0,0,0,0,1,0
G051.4639-00.7026,051.46390,-00.70258,292.19338,+16.09649,00.15,00.17,00003.01,00000.38,00005.67,00000.91,02.059,00.144,01.4,02.272,00.238,01.867,00.172,27.743,18.386,00.24,0.003,0011.3,G,0,0,0,0,0,0,0,0,0
G051.4687-00.6995,051.46869,-00.69951,292.19296,+16.10217,00.25,00.17,00002.12,00000.33,00003.59,00000.79,01.955,00.203,01.3,02.422,00.406,01.578,00.194,67.172,11.093,00.25,-0.008,0008.0,G,0,0,0,0,0,0,0,0,0
G051.5067-00.7238,051.50671,-00.72379,292.23408,+16.12394,00.12,00.14,00004.10,00000.46,00005.80,00000.83,01.785,00.098,,02.055,00.176,01.550,00.107,27.852,09.344,00.28,-0.005,0014.3,G,0,1,0,0,0,0,0,1,0
G051.5068-00.7233,051.50683,-00.72328,292.23368,+16.12429,00.18,00.26,00002.31,00000.35,00004.33,00000.91,02.055,00.208,01.4,02.673,00.443,01.581,00.183,26.407,08.394,00.27,-0.008,0011.4,G,0,1,0,0,0,0,0,1,0
G051.7019+00.3531,051.70189,+00.35305,291.34378,+16.80859,00.11,00.11,00006.27,00000.62,00006.27,00000.72,01.500,00.051,,01.500,00.074,01.500,00.071,57.452,69.140,00.25,-0.004,0025.1,G,0,0,0,0,0,0,0,0,1
G051.7714+00.6096,051.77135,+00.60957,291.14226,+16.99178,00.99,00.54,00002.78,00000.27,00032.61,00005.51,07.868,00.063,07.7,,,,,,,00.28,-0.002,0009.1,P,0,0,0,0,0,0,0,0,0
G051.7814+00.6013,051.78136,+00.60133,291.15522,+16.99687,00.49,00.47,00002.38,00000.23,00046.86,00006.98,08.564,00.051,08.4,,,,,,,00.28,-0.008,0007.7,P,0,0,0,0,0,0,0,0,0
G051.8230-00.4339,051.82304,-00.43394,292.12647,+16.54032,00.87,00.85,00006.97,00000.65,00014.90,00001.89,02.272,00.026,01.7,,,,,,,00.27,0.002,0025.3,P,0,1,0,0,0,0,0,1,0
G051.8235-00.4353,051.82350,-00.43531,292.12783,+16.54013,00.77,00.78,00007.80,00000.72,00017.12,00002.18,02.381,00.025,01.8,,,,,,,00.26,0.000,0028.5,P,0,1,0,0,0,0,0,1,0
G052.8715+01.1637,052.87147,+01.16371,291.17654,+18.22259,00.16,00.23,00004.28,00000.68,00006.04,00001.45,01.781,00.192,,02.115,00.363,01.500,00.195,164.421,14.820,00.51,-0.008,0007.8,G,0,1,1,1,0,0,0,0,0
G052.8739+01.1664,052.87390,+01.16642,291.17524,+18.22601,00.11,00.12,00012.21,00001.23,00018.43,00002.12,01.843,00.069,01.1,02.053,00.116,01.654,00.081,179.821,08.255,00.53,0.019,0022.7,G,0,1,1,1,0,0,0,0,0
G053.3010-01.0627,053.30100,-01.06267,293.44639,+17.53359,00.11,00.11,00010.35,00000.99,00010.35,00001.13,01.500,00.045,,01.500,00.065,01.500,00.063,05.165,86.215,00.39,0.006,0026.3,G,0,0,0,0,0,0,0,0,0
G053.3026-01.0680,053.30264,-01.06803,293.45200,+17.53256,02.18,02.16,00004.43,00000.49,00008.13,00001.64,02.269,00.064,01.7,,,,,,,00.38,-0.004,0010.6,P,0,0,0,0,0,0,0,0,0
G053.3172+00.9974,053.31715,+00.99737,291.55357,+18.53598,00.10,00.10,00011.50,00001.06,00013.02,00001.27,01.596,00.036,,01.626,00.052,01.567,00.049,170.230,26.389,00.27,-0.002,0042.3,G,0,1,0,0,0,0,0,1,0
G053.3176+00.9979,053.31757,+00.99787,291.55332,+18.53659,00.12,00.14,00004.15,00000.46,00005.71,00000.81,01.761,00.093,,02.043,00.170,01.518,00.100,165.816,08.429,00.27,-0.008,0021.5,G,0,1,0,0,0,0,0,1,0
G053.3937+00.7334,053.39372,+00.73341,291.83681,+18.47771,00.14,00.14,00002.98,00000.39,00002.98,00000.58,01.500,00.112,,01.500,00.158,01.500,00.158,38.403,90.000,00.28,0.003,0009.7,G,0,0,0,0,0,0,0,0,0
G053.8927-00.1387,053.89269,-00.13869,292.89603,+18.49788,00.11,00.11,00005.52,00000.57,00006.60,00000.83,01.640,00.069,,01.682,00.101,01.600,00.093,150.969,44.061,00.28,-0.004,0019.4,G,0,1,0,0,0,0,0,1,0
G053.8933-00.1381,053.89333,-00.13814,292.89584,+18.49870,00.19,00.17,00002.50,00000.37,00003.71,00000.79,01.825,00.174,01.0,01.934,00.272,01.723,00.221,106.997,44.186,00.28,-0.001,0009.0,G,0,1,0,0,0,0,0,1,0
