Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G026.6529+00.2874,026.65290,+00.28743,279.73060,-05.45417,00.15,00.22,00003.64,00000.52,00006.70,00001.28,02.036,00.180,01.4,02.372,00.326,01.748,00.195,172.631,14.320,00.36,-0.031,0010.6,G,0,0,0,0,0,0,0,0,0
G026.7145+00.1319,026.71454,+00.13186,279.89787,-05.47071,00.11,00.12,00007.88,00000.80,00013.16,00001.51,01.939,00.074,01.2,02.068,00.116,01.818,00.094,24.278,14.975,00.35,-0.025,0021.9,G,0,0,0,0,0,0,0,0,0
G026.8327-00.1516,026.83266,-00.15165,280.20549,-05.49555,02.08,02.05,00003.04,00000.38,00008.45,00001.79,02.524,00.067,02.0,,,,,,,00.35,0.005,0007.9,P,0,0,0,0,0,0,0,0,0
G027.4265-00.2499,027.42654,-00.24993,280.56606,-05.01249,00.16,00.14,00004.03,00000.52,00005.47,00000.99,01.746,00.131,,01.955,00.226,01.560,00.150,109.611,16.706,00.36,0.003,0010.1,G,0,0,0,0,0,0,0,0,0
G027.6595-00.3835,027.65950,-00.38351,280.79221,-04.86639,00.10,00.10,00011.18,00001.05,00011.18,00001.15,01.500,00.040,,01.500,00.058,01.500,00.054,12.221,35.729,00.33,-0.006,0032.2,G,0,0,0,0,0,0,0,0,0
G027.6635-00.8267,027.66354,-00.82672,281.18981,-05.06525,00.11,00.11,00006.64,00000.66,00008.21,00000.95,01.668,00.060,,01.758,00.093,01.582,00.077,39.887,17.138,00.29,0.010,0022.3,G,0,0,0,0,0,0,0,0,0
G027.6640-00.2485,027.66400,-00.24846,280.67373,-04.80064,00.12,00.12,00005.05,00000.57,00005.05,00000.78,01.500,00.081,,01.500,00.115,01.500,00.115,141.324,90.000,00.35,-0.001,0013.1,G,0,0,0,0,0,0,0,0,0
G027.7016+00.7048,027.70163,+00.70482,279.84105,-04.33083,00.22,00.21,00013.92,00001.26,00131.84,00013.06,04.365,00.011,04.1,,,,,,,00.36,-0.008,0037.5,P,0,0,0,0,0,0,0,0,0
G029.0538+00.9915,029.05376,+00.99146,280.20580,-02.99767,00.13,00.13,00004.64,00000.56,00005.11,00000.87,01.574,00.101,,01.651,00.156,01.500,00.130,72.843,35.600,00.37,0.004,0011.0,G,0,0,0,0,0,0,0,0,0
G029.1652-00.0168,029.16522,-00.01680,281.15494,-03.35949,00.12,00.12,00005.89,00000.59,00011.32,00001.27,02.079,00.078,01.4,02.267,00.126,01.907,00.096,60.808,10.683,00.26,0.007,0021.9,G,0,0,0,0,1,0,0,0,0
G029.2113-00.0689,029.21126,-00.06889,281.22243,-03.34251,00.24,00.24,00017.01,00001.53,00101.23,00009.91,03.587,00.011,03.3,,,,,,,00.35,0.007,0047.5,P,0,0,0,0,0,0,0,0,0
G029.5780-00.2686,029.57800,-00.26856,281.56805,-03.10719,00.12,00.12,00006.22,00000.72,00006.22,00001.00,01.500,00.086,,01.500,00.122,01.500,00.122,176.981,90.000,00.48,-0.058,0012.5,G,0,0,0,1,0,0,0,0,0
G029.8742-00.8190,029.87424,-00.81897,282.19391,-03.09463,00.19,00.19,00100.15,00008.92,00167.18,00016.11,02.194,00.006,01.6,,,,,,,00.44,-0.006,0224.2,P,0,0,0,0,0,0,0,0,0
G030.0226+00.1570,030.02262,+00.15697,281.39218,-02.51736,00.18,00.14,00004.78,00000.60,00008.73,00001.39,02.026,00.139,01.4,02.354,00.251,01.744,00.152,75.762,11.272,00.38,0.011,0011.6,G,0,0,0,0,0,0,0,0,0
